"";"mean";"sd";"2.5%";"25%";"50%";"75%";"97.5%";"Rhat";"n.eff"
"BI.SP[58,9,9]";2,157655;1,42073846990744;1,09;1,09;2,18;2,18;5,45;1,00023018527472;2000
"BI.SP[59,9,9]";4,87121;2,22320432138553;2,18;3,27;4,36;5,45;9,81;1,00042689185346;2000
"BI.SP[1,10,9]";53,6875;61,378730175925;0;25;25;75;200,624999999997;1,01187425804503;1100
"BI.SP[2,10,9]";130,275;67,3846772075154;50;75;125;150;300;1,00083155380126;2000
"BI.SP[3,10,9]";77,925;54,8903529814233;25;50;75;100;225;1,00253051763307;990
"BI.SP[4,10,9]";54,2875000000001;61,2785229296227;0;25;50;75;200;1,02200132376238;1100
"BI.SP[5,10,9]";113,5875;64,4953267092557;25;75;100;130,829392424013;275;1,00313205959379;800
"BI.SP[6,10,9]";94,1125;63,8665743046146;25;50;75;125;250;1,00212769939322;1200
"BI.SP[7,10,9]";48,75;56,0246095786416;0;0;25;75;175;1,0086454460291;1000
"BI.SP[8,10,9]";46,45;52,5359640033084;0;0;25;75;175;1,00374622290505;1800
"BI.SP[9,10,9]";47,55;55,9514323444069;0;0;25;75;200;1,00812237446574;2000
"BI.SP[10,10,9]";92,65;60,7686095937363;25;50;75;125;250;1,00071689712965;2000
"BI.SP[11,10,9]";111,05;63,6537382971309;25;75;100;150;275;1,00110214690529;2000
"BI.SP[12,10,9]";73,9375;53,408658812669;25;50;50;100;200,589783082658;1,00133757331668;1900
"BI.SP[13,10,9]";76,2375;57,0233015723487;25;50;50;100;225;1,00120037507537;2000
"BI.SP[14,10,9]";75,1875;56,5187980322964;25;50;50;100;200;1,00014946934374;2000
"BI.SP[15,10,9]";74,9625;57,6853525056122;25;50;50;100;225;1,00081826602667;2000
"BI.SP[16,10,9]";72,975;53,0724289660662;25;25;50;100;225;1,00095518145438;2000
"BI.SP[17,10,9]";106,4125;60,4546915351842;25;75;100;125;250;1,00101889946639;2000
"BI.SP[18,10,9]";46,675;52,7229478464059;0;0;25;75;175;1,00530446380524;2000
"BI.SP[19,10,9]";93,6;58,6313381811163;25;50;75;125;250;1,001113965015;2000
"BI.SP[20,10,9]";75,875;55,7688484481132;25;50;50;100;200,589783082658;1,00123141297194;2000
"BI.SP[21,10,9]";94,1;60,1310890799165;25;50;75;125;250;1,00093892322763;2000
"BI.SP[22,10,9]";51,7625;55,3284439696806;0;25;50;75;200;1,00087888913113;2000
"BI.SP[23,10,9]";77,75;57,9740717605573;25;50;75;100;225;1,00151070384044;1700
"BI.SP[24,10,9]";75,1;53,7138957002331;25;50;50;100;200;1,00075376629552;2000
"BI.SP[25,10,9]";47,5125;53,3729723815374;0;0;25;75;175;1,01234542058638;990
"BI.SP[26,10,9]";75,0875;54,7259290227564;25;50;50;100;225;1,00088173730066;2000
"BI.SP[27,10,9]";90,2875;55,6891415268009;25;50;75;125;225;1,002034975678;1200
"BI.SP[28,10,9]";73,4;53,1340438260314;25;50;50;100;200;1,00144003417658;1700
"BI.SP[29,10,9]";47,675;53,716031880999;0;0;25;75;175;1,01391143531638;1000
"BI.SP[30,10,9]";92,65;58,7490700063692;25;50;75;125;250;1,00137922859901;1800
"BI.SP[31,10,9]";47,775;53,6095734751178;0;0;25;75;175;1,0035081754034;1800
"BI.SP[32,10,9]";90,925;55,5692211945787;25;50;75;125;225;1,00248277121552;1000
"BI.SP[33,10,9]";46,1;49,7345630661581;0;0;25;75;175;1,0055359431299;2000
"BI.SP[34,10,9]";91,175;58,8066619248492;25;50;75;125;225;1,0008105506171;2000
"BI.SP[35,10,9]";93,7375;58,1455849422298;25;50;75;125;225;1,00032412685029;2000
"BI.SP[36,10,9]";126,55;64,0480177233227;50;75;125;150;275;1,00040067295709;2000
"BI.SP[37,10,9]";92,1125;57,9582127136493;25;50;75;125;250;1,00105156003375;2000
